reclon,reclat,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.88567012,42.92660685,0,3960,0,187.3013894,2020/10/09 22:03:42+00,,,,,,,,,,,,,,,,,,,,,
-78.87691273,42.95194505,0,3961,0,184.0750859,2020/10/10 11:50:50+00,,,,,,,,,,,,,,,,,,,,,
-78.88575238,42.92668506,0,3962,0,186.4071115,2020/10/12 16:56:21+00,,,,,,,,,,,,,,,,,,,,,
-78.87283826,42.92804111,0,3963,0,185.8249441,2020/10/08 21:21:19+00,,,,,,,,,,,,,,,,,,,,,
-78.88574079,42.92665122,0,3964,0,187.4677417,2020/10/09 22:03:43+00,,,,,,,,,,,,,,,,,,,,,
-78.87689499,42.95198043,0,3965,0,184.0750859,2020/10/10 11:50:56+00,,,,,,,,,,,,,,,,,,,,,
-78.8857766,42.92668068,0,3966,0,186.2966752,2020/10/12 16:56:22+00,,,,,,,,,,,,,,,,,,,,,
-78.87289528,42.92804279,0,3967,0,185.6976154,2020/10/08 21:21:20+00,,,,,,,,,,,,,,,,,,,,,
-78.88577273,42.92671369,0,3968,0,187.5697393,2020/10/09 22:03:44+00,,,,,,,,,,,,,,,,,,,,,
-78.87689754,42.95195507,0,3969,0,184.0750859,2020/10/10 11:51:08+00,,,,,,,,,,,,,,,,,,,,,
-78.88580709,42.92667612,0,3970,0,186.2282924,2020/10/12 16:56:23+00,,,,,,,,,,,,,,,,,,,,,
-78.87295046,42.92804089,0,3971,0,185.8059639,2020/10/08 21:21:21+00,,,,,,,,,,,,,,,,,,,,,
-78.88581111,42.9267558,0,3972,0,187.7187096,2020/10/09 22:03:45+00,,,,,,,,,,,,,,,,,,,,,
-78.87693477,42.95195567,0,3973,0,184.0750859,2020/10/10 11:51:14+00,,,,,,,,,,,,,,,,,,,,,
-78.88583154,42.92667284,0,3974,0,186.4015441,2020/10/12 16:56:24+00,,,,,,,,,,,,,,,,,,,,,
-78.87299212,42.92804142,0,3975,0,185.7859987,2020/10/08 21:21:22+00,,,,,,,,,,,,,,,,,,,,,
-78.88583621,42.9267771,0,3976,0,187.3511254,2020/10/09 22:03:46+00,,,,,,,,,,,,,,,,,,,,,
-78.87695134,42.95193241,0,3977,0,184.0750859,2020/10/10 11:51:20+00,,,,,,,,,,,,,,,,,,,,,
-78.88579664,42.92669065,0,3978,0,186.9755056,2020/10/12 16:56:30+00,,,,,,,,,,,,,,,,,,,,,
-78.87302223,42.92803972,0,3979,0,185.8753911,2020/10/08 21:21:23+00,,,,,,,,,,,,,,,,,,,,,
-78.88581059,42.92676277,0,3980,0,187.5052191,2020/10/09 22:03:47+00,,,,,,,,,,,,,,,,,,,,,
-78.87693412,42.95196537,0,3981,0,184.0750859,2020/10/10 11:51:26+00,,,,,,,,,,,,,,,,,,,,,
-78.88576547,42.92669298,0,3982,0,187.1658602,2020/10/12 16:56:34+00,,,,,,,,,,,,,,,,,,,,,
-78.87306965,42.92803749,0,3983,0,185.8019619,2020/10/08 21:21:25+00,,,,,,,,,,,,,,,,,,,,,
-78.88577087,42.92675234,0,3984,0,187.4958205,2020/10/09 22:03:48+00,,,,,,,,,,,,,,,,,,,,,
-78.87691322,42.95197866,0,3985,0,184.0750859,2020/10/10 11:51:38+00,,,,,,,,,,,,,,,,,,,,,
-78.88574352,42.92667393,0,3986,0,187.1756612,2020/10/12 16:56:36+00,,,,,,,,,,,,,,,,,,,,,
-78.87310046,42.92803707,0,3987,0,185.8287001,2020/10/08 21:21:27+00,,,,,,,,,,,,,,,,,,,,,
-78.88576373,42.92675445,0,3988,0,187.2771999,2020/10/09 22:03:49+00,,,,,,,,,,,,,,,,,,,,,
-78.87688525,42.95195758,0,3989,0,184.0750859,2020/10/10 11:51:44+00,,,,,,,,,,,,,,,,,,,,,
-78.88569685,42.92670264,0,3990,0,187.2301215,2020/10/12 16:56:39+00,,,,,,,,,,,,,,,,,,,,,
-78.87312552,42.92803676,0,3991,0,185.7858053,2020/10/08 21:21:29+00,,,,,,,,,,,,,,,,,,,,,
-78.88573677,42.92675322,0,3992,0,187.365154,2020/10/09 22:03:51+00,,,,,,,,,,,,,,,,,,,,,
-78.87689269,42.95197602,0,3993,0,184.0750859,2020/10/10 11:51:50+00,,,,,,,,,,,,,,,,,,,,,
-78.88568568,42.92672135,0,3994,0,187.2415259,2020/10/12 16:56:42+00,,,,,,,,,,,,,,,,,,,,,
-78.87315192,42.92803447,0,3995,0,185.803529,2020/10/08 21:21:31+00,,,,,,,,,,,,,,,,,,,,,
-78.8857099,42.92675564,0,3996,0,187.1717415,2020/10/09 22:03:53+00,,,,,,,,,,,,,,,,,,,,,
-78.87688083,42.95193994,0,3997,0,184.0750859,2020/10/10 11:51:56+00,,,,,,,,,,,,,,,,,,,,,
-78.88567389,42.92671893,0,3998,0,187.1781879,2020/10/12 16:56:43+00,,,,,,,,,,,,,,,,,,,,,
-78.87321716,42.92802672,0,3999,0,185.8312432,2020/10/08 21:21:32+00,,,,,,,,,,,,,,,,,,,,,
-78.88568375,42.92675522,0,4000,0,187.3145076,2020/10/09 22:04:01+00,,,,,,,,,,,,,,,,,,,,,
-78.87686799,42.95196591,0,4001,0,184.0750859,2020/10/10 11:52:02+00,,,,,,,,,,,,,,,,,,,,,
-78.88566317,42.92674398,0,4002,0,186.6652938,2020/10/12 16:56:51+00,,,,,,,,,,,,,,,,,,,,,
